# Time (Hours), Altitude, Semi Major Axis, Eccentricity, Inclination, Argument Of Periapsis, RAAN, True Anomaly, Acceleration Norm PM Sun, Acceleration Norm PM Moon, Acceleration Norm PM Mars, Acceleration Norm PM Venus, Acceleration Norm SH Earth, Acceleration Norm Aero Earth, Acceleration Norm RP Sun
0.000000000000000000e+00,5.642889669349137876e+02,6.996178026390947707e+03,9.663055983744636354e-03,9.774536588278880345e+01,2.828024534032211790e+01,3.233257309531472288e+02,3.339877075212950785e+02,5.546249502651555468e-07,1.023236030553073598e-06,3.388175574337165775e-13,1.347162886056130611e-11,8.298601354589166590e+00,1.086845883941274590e-07,8.891448200981745539e-08
3.333333333333333287e-02,5.608968856893135353e+02,6.995659475219391425e+03,9.662169065181323846e-03,9.774566908150727329e+01,2.940801492351337743e+01,3.233257673003003561e+02,3.404120324326872264e+02,5.356508840807683364e-07,9.904786227172383201e-07,3.220961392309893838e-13,1.336883092387013371e-11,8.305810487052010416e+00,1.144622396398272110e-07,8.891405943364149544e-08
6.666666666666666574e-02,5.584394845312833695e+02,6.994517973120168790e+03,9.549528874876440226e-03,9.774630672415996457e+01,3.054899358136158938e+01,3.233259269153624018e+02,3.468291038230134404e+02,5.104621714151774542e-07,9.468434681501632786e-07,3.029666322866445587e-13,1.312348576485643504e-11,8.309692855910222775e+00,1.188206365723140025e-07,8.891350508515012016e-08
1.000000000000000056e-01,5.569695893704183618e+02,6.992832514239908960e+03,9.333832566076749951e-03,9.774723568735393542e+01,3.146762076028510080e+01,3.233262937337718768e+02,3.534720909528749075e+02,4.799583707961628295e-07,8.937927346568217757e-07,2.823890540852070272e-13,1.274468925865491541e-11,8.310254222276315161e+00,1.214730287323397769e-07,8.891282761979571729e-08
1.333333333333333315e-01,5.565272018715301101e+02,6.990721631211925342e+03,9.038998846660629971e-03,9.774839324719798128e+01,3.193325834089657178e+01,3.233269378437850037e+02,5.691840043100551139e-01,4.453760069340565820e-07,8.333764365826710039e-07,2.616024145706088140e-13,1.224749419663561972e-11,8.307602641015687794e+00,1.222115640342207029e-07,8.891203789701972072e-08
1.666666666666666574e-01,5.571377214524941337e+02,6.988334334195134034e+03,8.702750405799300829e-03,9.774970065185104318e+01,3.174128428663584245e+01,3.233279104617811299e+02,8.322550864028839257e+00,4.083741615336602470e-07,7.684009183470414356e-07,2.421594447710772029e-13,1.165345418718606616e-11,8.301937100561382010e+00,1.209617056685549890e-07,8.891114877062844665e-08
2.000000000000000111e-01,5.588102346770158420e+02,6.985839035697580584e+03,8.373514602084776437e-03,9.775106811920089456e+01,3.075430528569461686e+01,3.233292398636372695e+02,1.686717406458784296e+01,3.711601858056384263e-07,7.026688808186430947e-07,2.259015857010248789e-13,1.099141400307007216e-11,8.293533146891013175e+00,1.177775827833138118e-07,8.891017483775287011e-08
2.333333333333333370e-01,5.615359926635092052e+02,6.983411303780138041e+03,8.104413296122638111e-03,9.775240111538705889e+01,2.896500773180931887e+01,3.233309288866871611e+02,2.620804725261003654e+01,3.366350468755182463e-07,6.412555268081733349e-07,2.147751248064446416e-13,1.029849376298998680e-11,8.282726239709640836e+00,1.128434783476615632e-07,8.890913215414184605e-08
2.666666666666666630e-01,5.652871898675998636e+02,6.981221206961045027e+03,7.943456279221036698e-03,9.775360739742362171e+01,2.655709924987074189e+01,3.233329545192971182e+02,3.615927776474737954e+01,3.084398851970844837e-07,5.906238791526207454e-07,2.103981870558765923e-13,9.620944459832564011e-12,8.269893110320662544e+00,1.064617323246842305e-07,8.890803792427211452e-08
2.999999999999999889e-01,5.700161514659645263e+02,6.979421007975365683e+03,7.921385355487550392e-03,9.775460402891815193e+01,2.390920479514890928e+01,3.233352697735172683e+02,4.634023013752788245e+01,2.905881913832735801e-07,5.580550347359324473e-07,2.134861274031289039e-13,9.013927889905073812e-12,8.255431453201483194e+00,9.899275626141098399e-08,8.890691017496984335e-08
3.333333333333333148e-01,5.756550324379019230e+02,6.978134045089197571e+03,8.042263777254967869e-03,9.775532353025556631e+01,2.149739878985876729e+01,3.233378076132485717e+02,5.627302807721840594e+01,2.863117482756902344e-07,5.497354024745114516e-07,2.235335344419701543e-13,8.538275211883766103e-12,8.239738919706759646e+00,9.084890672071465738e-08,8.890576742094622230e-08
3.666666666666666408e-01,5.821161237624017986e+02,6.977445730190032918e+03,8.282595980271468400e-03,9.775571852073463219e+01,1.973452742882171407e+01,3.233404863578781487e+02,6.554326000619879267e+01,2.964898051123706307e-07,5.679663600746848545e-07,2.390483265042931416e-13,8.251754777452596760e-12,8.223193250412325739e+00,8.241806420283409401e-08,8.890462832993958388e-08
4.000000000000000222e-01,5.892928414019075944e+02,6.977397569388508600e+03,8.599625486955808640e-03,9.775576455291977140e+01,1.885169511925395014e+01,3.233432158317909852e+02,7.391851385406803843e+01,3.191260476323650796e-07,6.098873248522182161e-07,2.581169106894057936e-13,8.194700265082898886e-12,8.206135948407363045e+00,7.405455493473888824e-08,8.890351139415682888e-08
4.333333333333333481e-01,5.970614358928967249e+02,6.977984880578565026e+03,8.943493890531681659e-03,9.775546117397500723e+01,1.888204781810767230e+01,3.233459036121038821e+02,8.136460841181880710e+01,3.504966981053503132e-07,6.691274199021292820e-07,2.788778620133017982e-13,8.376129906600367859e-12,8.188861725630498967e+00,6.604591582918538467e-08,4.304627092276812894e-08
4.666666666666666741e-01,6.052834050195822329e+02,6.979158437266466535e+03,9.267461560951808716e-03,9.775483144471779440e+01,1.971605339165613202e+01,3.233484609579634821e+02,8.799032160760793886e+01,3.866827916061547552e-07,7.385058188281844893e-07,2.997431222024088583e-13,8.770310618580509734e-12,8.171614956193829826e+00,5.860600141538217054e-08,0.000000000000000000e+00
5.000000000000000000e-01,6.138085299446256613e+02,6.980829782524716393e+03,9.533961088497286407e-03,9.775392015912909471e+01,2.116928829172967141e+01,3.233508082528658178e+02,9.397960717495772087e+01,4.243745452247070451e-07,8.116703705231197995e-07,3.194398548863877800e-13,9.326680370049187327e-12,8.154592849744938476e+00,5.186419699261703617e-08,0.000000000000000000e+00
5.333333333333333259e-01,6.224783973669671013e+02,6.982879265626428605e+03,9.717148377063075312e-03,9.775279090350457523e+01,2.303065007902144501e+01,3.233528798872362131e+02,9.954338098107274391e+01,4.610124221464085543e-07,8.835265868045878894e-07,3.369786430358719335e-13,9.985190488691613919e-12,8.137953587162272129e+00,4.588502436610795996e-08,0.000000000000000000e+00
5.666666666666666519e-01,6.311302315493439892e+02,6.985165809241267198e+03,9.803413913696202436e-03,9.775152197490329797e+01,2.508768928356354166e+01,3.233546285014961654e+02,1.048941842190703255e+02,4.946702359487023390e-07,9.501184128527444876e-07,3.516073831457263140e-13,1.068806487354226622e-11,8.121826791712466687e+00,4.068136660030984847e-08,0.000000000000000000e+00
5.999999999999999778e-01,6.396008520169407348e+02,6.987537195688461907e+03,9.790969819662877563e-03,9.775020117607355985e+01,2.713687205618408171e+01,3.233560283305999974e+02,1.102359125137307814e+02,5.239071021337192983e-07,1.008401507607004580e-06,3.627722553220488747e-13,1.138539445440116102e-11,8.106323725155371918e+00,3.622512008327707685e-08,0.000000000000000000e+00
6.333333333333333037e-01,6.477305879367729631e+02,6.989839959193646791e+03,9.689110565977378589e-03,9.774891964815587642e+01,2.898747176226274291e+01,3.233570772514554506e+02,1.157599130752530101e+02,5.476542903379859004e-07,1.056059301899272858e-06,3.700898399215788651e-13,1.203644463128226368e-11,8.091545433221426720e+00,3.246499423393994316e-08,0.000000000000000000e+00
6.666666666666666297e-01,6.553670137757937937e+02,6.991928336813789429e+03,9.517326165462429780e-03,9.774776515464840543e+01,3.046606851818384243e+01,3.233577971076308017e+02,1.216404710868418420e+02,5.651408565870814723e-07,1.091382575677822492e-06,3.733289372728453472e-13,1.260905987224722847e-11,8.077588313515734697e+00,2.933526143352270027e-08,0.000000000000000000e+00
6.999999999999999556e-01,6.623684081226513172e+02,6.993672094411398575e+03,9.304104622504635186e-03,9.774681547934309833e+01,3.142727461043001469e+01,3.233582320423655574e+02,1.280240675930934913e+02,5.758478598053844701e-07,1.113197969962091077e-06,3.723998012749649661e-13,1.307858043693260746e-11,8.064547724591299982e+00,2.676809829816751216e-08,0.000000000000000000e+00
7.333333333333332815e-01,6.686068666455178118e+02,6.994963271990303838e+03,9.084941772668974833e-03,9.774613272462325142e+01,3.177467912918210757e+01,3.233584448840712184e+02,1.350084158788507125e+02,5.794814798240084376e-07,1.120828036871558132e-06,3.673490930346420759e-13,1.342685110676342503e-11,8.052520869996468988e+00,2.469688772724521345e-08,0.000000000000000000e+00
7.666666666666667185e-01,6.739710145300607564e+02,6.995721922622665261e+03,8.898853415272738043e-03,9.774575921668316880e+01,3.149152652635365612e+01,3.233585119965452463e+02,1.426117620841088751e+02,5.759585767562077747e-07,1.114070313674903193e-06,3.583597685123058519e-13,1.364147880584363022e-11,8.041610095832361083e+00,2.306259303631633123e-08,0.000000000000000000e+00
8.000000000000000444e-01,6.783682643221942499e+02,6.995900776490038879e+03,8.782847948734318413e-03,9.774571544273422319e+01,3.067089747898286234e+01,3.233585172968636812e+02,1.507426821994737622e+02,5.654011861779699682e-07,1.093188350955583879e-06,3.457560323888595956e-13,1.371533769745695507e-11,8.031927043812988387e+00,2.181392680570603660e-08,0.000000000000000000e+00
8.333333333333333703e-01,6.817265591632435644e+02,6.995488540879288848e+03,8.764761789728875430e-03,9.774600004420642563e+01,2.952351811753182531e+01,3.233585462500608969e+02,1.591922498570404798e+02,5.481388172314264281e-07,1.058912355864290996e-06,3.300143556059442351e-13,1.364628223383057750e-11,8.023597131762478796e+00,2.090944892672841712e-08,0.000000000000000000e+00
8.666666666666666963e-01,6.839955391939049605e+02,6.994511371186178621e+03,8.856466893339019417e-03,9.774659149950754511e+01,2.834185749709704183e+01,3.233586805320866802e+02,1.676699153337484915e+02,5.247195307303530390e-07,1.012451412800075323e-06,3.117822336187059363e-13,1.343703528305238310e-11,8.016762997383114708e+00,2.031859714877875183e-08,0.000000000000000000e+00
9.000000000000000222e-01,6.851470793930236596e+02,6.993032020063733398e+03,9.050440311545476790e-03,9.774745087817191802e+01,2.742426476070930264e+01,3.233589937552152946e+02,1.758793443503879246e+02,4.959330205714818180e-07,9.555236579396512887e-07,2.919062963210775214e-13,1.309523888834561003e-11,8.011585176423151822e+00,2.001869744469315905e-08,0.000000000000000000e+00
9.333333333333333481e-01,6.851751744775268662e+02,6.991146337312636206e+03,9.321510643968812168e-03,9.774852501330549615e+01,2.699570785932122874e+01,3.233595482831494792e+02,1.835976545692124660e+02,4.628515688264166043e-07,8.904155404713004837e-07,2.714688615130179311e-13,1.263367810524936375e-11,8.008238550455024196e+00,1.999700926291073175e-08,0.000000000000000000e+00
9.666666666666666741e-01,6.840951884204065436e+02,6.988977124902551623e+03,9.632828258661768617e-03,9.774974962068435502e+01,2.716497409001440388e+01,3.233603928613899825e+02,1.907181891182118250e+02,4.268974014065176736e-07,8.200851798973986002e-07,2.518229473552159747e-13,1.207070759148942928e-11,8.006903928151574590e+00,2.024969234893682778e-08,0.000000000000000000e+00
1.000000000000000000e+00,6.819425345317879419e+02,6.986665760822955235e+03,9.943266198192714928e-03,9.775105221202045414e+01,2.792779439932499841e+01,3.233615606619536038e+02,1.972473647594472084e+02,3.899447595485289691e-07,7.483215686572913105e-07,2.345932104364689166e-13,1.143091507387677144e-11,8.007755262171411204e+00,2.078142084959692672e-08,0.000000000000000000e+00
1.033333333333333437e+00,6.787708956276746903e+02,6.984362370112041390e+03,1.021382558332261346e-02,9.775235497765578430e+01,2.919681924496273595e+01,3.233630674343992837e+02,2.032746666201129244e+02,3.544512413437477309e-07,6.799402576505175630e-07,2.215724514915142927e-13,1.074601608525106843e-11,8.010944092669378236e+00,2.160611057210580932e-08,8.890153332604490925e-08
1.066666666666666652e+00,6.746501221356885480e+02,6.982215540903697729e+03,1.041208539773213169e-02,9.775357801804968005e+01,3.083519038563065706e+01,3.233649097296581090e+02,2.089390451095437697e+02,3.235571342343662871e-07,6.208875424030381555e-07,2.144244500702848846e-13,1.005582127588385641e-11,8.016583500452721722e+00,2.274405513627255914e-08,8.890250026033691124e-08
1.100000000000000089e+00,6.696639505525948834e+02,6.980362633808455939e+03,1.051485146891873584e-02,9.775464329712605149e+01,3.268125292599686560e+01,3.233670635137743830e+02,2.144041710694081075e+02,3.009534228454310265e-07,5.778857212393783775e-07,2.142013340677512224e-13,9.408723702159354621e-12,8.024733929061675042e+00,2.422484799470736564e-08,8.890350662021165345e-08
