fluxdate,fluxobsflux
20041028,132.7
20041028,135.8
20041029,130.6
20041029,134.2
20041030,147.9
20041030,136.4
20041030,140.2
20041031,140.3
20041031,139.2
20041031,138.3
20041101,134.0
20041101,135.5
20041102,133.7
20041102,133.1
20041102,133.1
20041103,144.9
20041103,135.9
20041103,131.5
20041104,130.8
20041104,136.0
20041104,154.7
20041105,135.9
20041105,141.2
20041105,135.9
20041106,129.6
20041106,128.8
20041106,124.5
20041107,152.3
20041107,129.6
20041107,131.0
20041108,123.7
20041108,124.1
20041108,125.2
20041109,333.3
20041109,140.9
20041109,126.6
20041110,107.8
20041110,104.6
20041110,104.4
20041111,94.9
20041111,94.9
20041111,96.6
20041112,96.4
20041112,96.0
20041112,96.3
20041113,96.6
20041113,96.4
20041113,98.1
20041114,99.6
20041114,100.3
20041114,99.7
20041115,104.1
20041115,105.6
20041115,107.9
20041116,104.1
20041116,106.6
20041116,107.8
20041117,104.9
20041117,104.9
20041117,107.2
20041118,104.9
20041118,104.0
20041118,107.1
20041119,102.7
20041119,103.4
20041119,104.7
20041120,99.1
20041120,99.3
20041120,101.2
20041121,101.0
20041121,100.9
20041121,102.5
20041122,105.7
20041122,106.3
20041122,107.3
20041123,109.4
20041123,106.9
20041123,109.2
20041124,104.7
20041124,107.3
20041124,112.7
20041125,108.8
20041125,109.4
20041125,111.0
20041126,111.2
20041126,111.1
20041126,114.6
20041127,110.0
20041127,110.3
20041127,111.4
20041128,110.3
20041128,112.8
20041128,113.3
20041129,109.9
20041129,111.4
20041129,114.8
20041130,108.9
20041130,110.6
20041130,110.5
20041201,113.3
20041201,111.0
20041201,111.8
20041202,105.1
20041202,105.6
20041202,105.6
20041203,101.0
20041203,100.8
20041203,101.3
20041204,96.3
20041204,97.4
20041204,98.3
20041205,95.5
20041205,95.9
20041205,97.9
20041206,92.0
20041206,93.2
20041206,93.7
20041207,89.1
20041207,89.7
20041207,91.5
20041208,80.9
20041208,96.5
20041208,94.4
20041209,86.2
20041209,87.4
20041209,88.8
20041210,84.9
20041210,84.8
20041210,86.5
20041211,87.2
20041211,89.8
20041211,93.7
20041212,90.9
20041212,90.5
20041212,92.6
20041213,87.1
20041213,89.7
20041213,90.9
20041214,86.7
20041214,89.3
20041214,90.4
20041215,88.8
20041215,89.3
20041215,88.9
20041221,101.0
20041221,101.2
20041222,98.4
20041222,98.8
20041222,100.2
20041223,96.5
20041223,96.4
20041223,97.3
20041224,96.6
20041224,97.2
20041224,97.6
20041225,92.2
20041225,93.0
20041225,94.1
20041226,88.8
20041226,91.7
20041226,95.8
20041227,94.7
20041227,96.9
20041227,98.5
20041228,112.3
20041228,105.2
20041228,103.0
20041229,101.0
20041229,98.5
20041229,101.6
20041230,100.3
20041230,100.0
20041230,100.5
20041231,95.8
20041231,98.5
20041231,100.4
20050101,96.5
20050101,98.9
20050101,100.8
20050102,98.7
20050102,100.0
20050102,98.5
20050103,91.8
20050103,94.2
20050103,93.9
20050104,87.3
20050104,88.0
20050104,88.7
20050105,87.5
20050105,86.9
20050105,86.8
20050106,82.8
20050106,83.2
20050106,84.3
20050107,82.5
20050107,83.5
20050107,84.6
20050108,85.2
20050108,87.3
20050108,87.4
20050109,89.2
20050109,87.5
20050109,90.3
20050110,88.9
20050110,90.1
20050110,92.5
20050111,93.6
20050111,94.2
20050111,95.9
20050112,100.8
20050112,102.1
20050112,103.2
20050113,112.7
20050113,115.6
20050113,117.7
20050114,127.5
20050114,129.8
20050114,136.2
20050115,147.2
20050115,144.9
20050115,181.0
20050116,144.3
20050116,144.5
20050116,148.8
20050117,139.0
20050117,137.5
20050117,138.4
20050118,134.1
20050118,124.3
20050118,130.7
20050119,134.7
20050119,132.5
20050119,132.1
20050120,122.6
20050120,122.7
20050120,123.0
20050121,114.8
20050121,113.5
20050121,113.6
20050122,104.3
20050122,102.2
20050122,103.4
